Suite,Rows,State,Planner,work_mem,Query,Variant,n,Execution median ms,95% CI ms,p95 ms,CV,Speedup vs seq,Access,Planning median ms,Plan+execution median ms
scalar,5000000,clean,default,64MB,group_c200,gin,7,1034.757,974.092–1145.789,1162.065,8.6%,—,Seq Scan (fallback),0.052,1034.812
scalar,5000000,clean,default,64MB,group_c200,roaring,7,22.808,18.011–25.190,25.488,16.1%,—,LionCount,0.035,22.841
scalar,5000000,clean,default,64MB,group_c200,roaring_bitmap,7,1033.582,888.036–1143.319,1163.191,12.4%,—,Seq Scan (fallback),0.041,1033.628
scalar,5000000,clean,default,64MB,group_filtered,btree,7,22.105,20.022–173.980,192.601,118.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.050,22.155
scalar,5000000,clean,default,64MB,group_filtered,gin,7,137.210,19.535–174.002,206.273,62.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.073,137.283
scalar,5000000,clean,default,64MB,group_filtered,roaring,7,17.365,16.871–18.452,19.050,10.4%,—,LionCount,0.069,17.415
scalar,5000000,clean,default,64MB,group_filtered,roaring_bitmap,7,156.136,18.287–182.855,189.467,62.7%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.063,156.205
scalar,5000000,clean,default,64MB,in_and,btree,7,98.268,39.479–108.265,111.152,38.2%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.050,98.324
scalar,5000000,clean,default,64MB,in_and,gin,7,136.057,133.210–143.987,146.263,4.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.061,136.111
scalar,5000000,clean,default,64MB,in_and,roaring,7,9.685,9.334–10.238,10.268,4.0%,—,LionCount,0.060,9.745
scalar,5000000,clean,default,64MB,in_and,roaring_bitmap,7,92.312,85.523–98.421,108.203,18.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.062,92.383
scalar,5000000,clean,default,64MB,in_c20k_10,btree,7,0.195,0.193–0.222,0.228,8.2%,—,Index Only Scan,0.065,0.260
scalar,5000000,clean,default,64MB,in_c20k_10,gin,7,17.825,16.627–19.842,21.847,15.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.055,17.881
scalar,5000000,clean,default,64MB,in_c20k_10,roaring,7,0.079,0.076–0.082,0.088,6.8%,—,LionCount,0.055,0.134
scalar,5000000,clean,default,64MB,in_c20k_10,roaring_bitmap,7,19.850,17.719–21.152,22.001,14.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.065,19.919
scalar,5000000,clean,default,64MB,in_c20k_1000,btree,7,16.782,16.649–17.969,18.198,4.0%,—,Index Only Scan,0.475,17.257
scalar,5000000,clean,default,64MB,in_c20k_1000,gin,7,478.074,396.868–504.180,529.416,14.3%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.694,478.771
scalar,5000000,clean,default,64MB,in_c20k_1000,roaring,7,7.302,6.505–7.556,7.748,7.5%,—,LionCount,0.899,8.238
scalar,5000000,clean,default,64MB,in_c20k_1000,roaring_bitmap,7,375.831,317.100–506.117,549.070,24.7%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.513,376.344
scalar,5000000,clean,default,64MB,is_null,btree,7,34.013,33.522–34.694,35.038,1.9%,—,Index Only Scan,0.031,34.044
scalar,5000000,clean,default,64MB,is_null,gin,7,583.128,553.070–721.327,739.064,13.7%,—,Seq Scan (fallback),0.040,583.174
scalar,5000000,clean,default,64MB,is_null,roaring,7,0.799,0.430–0.845,0.907,28.8%,—,LionCount,0.042,0.841
scalar,5000000,clean,default,64MB,is_null,roaring_bitmap,7,424.565,417.550–528.127,562.260,19.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.043,424.608
scalar,5000000,clean,default,64MB,or_columns,btree,7,565.609,550.691–571.249,573.435,5.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.039,565.648
