suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,1000000,gin,dirty_scattered,default,64MB,group_c200,2,143.40550000000002,140.584,146.227,0.052500000000000005,Seq Scan,,,,
scalar,1000000,gin,dirty_scattered,prefer_index,64MB,group_c200,2,145.43400000000003,141.467,149.401,0.0385,Seq Scan,,,,
scalar,1000000,roaring,after_maintenance,default,64MB,eq_c200_17,2,0.11549999999999999,0.105,0.126,0.038,LionCount,,,,
scalar,1000000,roaring,after_maintenance,default,64MB,group_c200,2,11.653500000000001,10.265,13.042,0.038,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,and2,2,0.3835,0.361,0.406,0.0435,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,and3,2,0.2895,0.287,0.292,0.051000000000000004,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,and3_selective,2,0.3395,0.337,0.342,0.0615,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring,clean,default,64MB,eq_c200_17,2,0.0285,0.028,0.029,0.038,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,eq_c20k_123,2,0.0145,0.012,0.017,0.0475,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,eq_c2_0,2,0.362,0.353,0.371,0.035500000000000004,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,fetch_medium,2,3.1174999999999997,2.948,3.287,0.043,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring,clean,default,64MB,group_c200,2,3.7325,3.727,3.738,0.031,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,in_c20k_100,2,0.158,0.157,0.159,0.117,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,is_null,2,0.0905,0.09,0.091,0.032,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,range_random,2,110.094,110.069,110.119,0.036000000000000004,Seq Scan,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,and2,2,0.3645,0.356,0.373,0.0445,LionCount,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,eq_c200_17,2,0.0285,0.028,0.029,0.036500000000000005,LionCount,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,eq_c2_0,2,0.3615,0.361,0.362,0.035,LionCount,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,group_c200,2,3.657,3.605,3.709,0.0305,LionCount,,,,
scalar,1000000,roaring,dirty_scattered,prefer_index,64MB,group_c200,2,3.7195,3.691,3.748,0.032,LionCount,,,,
scalar,1000000,roaring_bitmap,after_maintenance,default,64MB,eq_c200_17,2,2.7885,2.693,2.884,0.038,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,after_maintenance,default,64MB,group_c200,2,146.76999999999998,146.0,147.54,0.036500000000000005,Seq Scan,,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,and2,2,6.631,6.589,6.673,0.040499999999999994,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,and3,2,2.3695000000000004,2.333,2.406,0.043,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,and3_selective,2,0.328,0.319,0.337,0.0435,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c200_17,2,2.512,2.511,2.513,0.0315,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c20k_123,2,0.049,0.049,0.049,0.0315,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c2_0,2,61.7035,60.763,62.644,0.039,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,fetch_medium,2,3.01,2.822,3.198,0.05,"Bitmap Heap Scan, Bitmap Index Scan",,,,
