suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,5000000,btree,dirty_scattered,default,64MB,group_c200,2,1032.383,981.89,1082.876,0.048,Seq Scan,,,,
scalar,5000000,btree,dirty_scattered,prefer_index,64MB,group_c200,2,425.32899999999995,419.52,431.138,0.0665,Index Only Scan,,,,
scalar,5000000,gin,after_maintenance,default,64MB,eq_c200_17,2,23.085,22.236,23.934,0.0695,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,after_maintenance,default,64MB,group_c200,2,1091.9544999999998,1054.425,1129.484,0.0415,Seq Scan,,,,
scalar,5000000,gin,clean,default,64MB,and2,2,191.776,187.624,195.928,0.069,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,and3,2,27.898,27.68,28.116,0.086,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,eq_c200_17,2,113.357,72.988,153.726,0.07300000000000001,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,eq_c20k_123,2,1.0005,0.257,1.744,0.063,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,eq_c2_0,2,957.9325,950.697,965.168,0.064,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,fetch_medium,2,83.2105,22.849,143.572,0.053000000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,group_c200,2,1268.598,1192.391,1344.805,0.041499999999999995,Seq Scan,,,,
scalar,5000000,gin,clean,default,64MB,in_c20k_100,2,252.372,223.305,281.439,0.14100000000000001,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,is_null,2,791.2715000000001,713.61,868.933,0.047,Seq Scan,,,,
scalar,5000000,gin,clean,default,64MB,range_random,2,406.9125,312.35,501.475,0.057499999999999996,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,dirty_scattered,default,64MB,and2,2,193.28,189.025,197.535,0.0725,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,dirty_scattered,default,64MB,eq_c200_17,2,104.066,67.727,140.405,0.07250000000000001,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,dirty_scattered,default,64MB,eq_c2_0,2,879.5260000000001,828.481,930.571,0.08399999999999999,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,dirty_scattered,default,64MB,group_c200,2,975.308,924.626,1025.99,0.0515,Seq Scan,,,,
scalar,5000000,gin,dirty_scattered,prefer_index,64MB,group_c200,2,1009.835,1001.84,1017.83,0.0525,Seq Scan,,,,
scalar,5000000,roaring,after_maintenance,default,64MB,eq_c200_17,2,0.1795,0.156,0.203,0.0485,RoaringCount,,,,
scalar,5000000,roaring,after_maintenance,default,64MB,group_c200,2,1038.4395,1020.12,1056.759,0.0465,Seq Scan,,,,
scalar,5000000,roaring,clean,default,64MB,and2,2,1.6855000000000002,1.624,1.747,0.0435,RoaringCount,,,,
scalar,5000000,roaring,clean,default,64MB,and3,2,1.144,1.14,1.148,0.045,RoaringCount,,,,
scalar,5000000,roaring,clean,default,64MB,eq_c200_17,2,0.11699999999999999,0.106,0.128,0.048,RoaringCount,,,,
scalar,5000000,roaring,clean,default,64MB,eq_c20k_123,2,0.0245,0.021,0.028,0.047,RoaringCount,,,,
