suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,5000000,btree,clean,default,64MB,and2,2,16.193,14.912,17.474,0.052500000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,btree,clean,default,64MB,and3,2,13.888,13.317,14.459,0.048,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,btree,clean,default,64MB,eq_c200_17,2,1.5295,1.519,1.54,0.034,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,eq_c20k_123,2,0.0325,0.032,0.033,0.033,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,eq_c2_0,2,167.1635,162.028,172.299,0.0335,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,fetch_medium,2,18.3965,17.581,19.212,0.0465,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,btree,clean,default,64MB,group_c200,2,417.244,410.947,423.541,0.048,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,in_c20k_100,2,1.6355,1.574,1.697,0.0895,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,is_null,2,36.3065,33.195,39.418,0.03,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,range_random,2,1.5415,1.531,1.552,0.06849999999999999,Index Only Scan,,,,
scalar,5000000,btree,dirty_scattered,default,64MB,and2,2,224.4345,223.365,225.504,0.116,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,btree,dirty_scattered,default,64MB,eq_c200_17,2,1.945,1.624,2.266,0.057999999999999996,Index Only Scan,,,,
scalar,5000000,btree,dirty_scattered,default,64MB,eq_c2_0,2,651.8815,648.248,655.515,0.0455,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,btree,dirty_scattered,default,64MB,group_c200,2,956.9085,956.832,956.985,0.052,Seq Scan,,,,
scalar,5000000,btree,dirty_scattered,prefer_index,64MB,group_c200,2,415.94100000000003,410.562,421.32,0.0615,Index Only Scan,,,,
scalar,5000000,gin,after_maintenance,default,64MB,eq_c200_17,2,18.4055,17.285,19.526,0.052500000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,after_maintenance,default,64MB,group_c200,2,1022.826,1012.99,1032.662,0.035500000000000004,Seq Scan,,,,
scalar,5000000,gin,clean,default,64MB,and2,2,178.6575,173.471,183.844,0.0605,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,and3,2,28.8925,27.402,30.383,0.0875,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,eq_c200_17,2,110.119,66.898,153.34,0.0635,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,eq_c20k_123,2,1.1464999999999999,0.235,2.058,0.059,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,eq_c2_0,2,958.4,938.151,978.649,0.063,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,fetch_medium,2,79.97349999999999,18.301,141.646,0.046,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,group_c200,2,1252.029,1156.258,1347.8,0.04,Seq Scan,,,,
scalar,5000000,gin,clean,default,64MB,in_c20k_100,2,255.224,220.734,289.714,0.131,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,clean,default,64MB,is_null,2,746.335,677.9,814.77,0.0655,Seq Scan,,,,
scalar,5000000,gin,clean,default,64MB,range_random,2,381.769,263.161,500.377,0.056999999999999995,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,dirty_scattered,default,64MB,and2,2,177.71550000000002,171.714,183.717,0.073,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,dirty_scattered,default,64MB,eq_c200_17,2,97.88399999999999,67.586,128.182,0.065,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,dirty_scattered,default,64MB,eq_c2_0,2,802.671,775.02,830.322,0.058499999999999996,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,gin,dirty_scattered,default,64MB,group_c200,2,934.408,870.921,997.895,0.061,Seq Scan,,,,
scalar,5000000,gin,dirty_scattered,prefer_index,64MB,group_c200,2,1016.5740000000001,1010.48,1022.668,0.0545,Seq Scan,,,,
scalar,5000000,roaring,after_maintenance,default,64MB,eq_c200_17,2,0.152,0.147,0.157,0.0345,LionCount,,,,
scalar,5000000,roaring,after_maintenance,default,64MB,group_c200,2,22.009,21.934,22.084,0.031,LionCount,,,,
scalar,5000000,roaring,clean,default,64MB,and2,2,1.6435,1.628,1.659,0.042499999999999996,LionCount,,,,
scalar,5000000,roaring,clean,default,64MB,and3,2,1.1345,1.102,1.167,0.0465,LionCount,,,,
scalar,5000000,roaring,clean,default,64MB,eq_c200_17,2,0.10250000000000001,0.098,0.107,0.05,LionCount,,,,
scalar,5000000,roaring,clean,default,64MB,eq_c20k_123,2,0.025,0.022,0.028,0.0495,LionCount,,,,
scalar,5000000,roaring,clean,default,64MB,eq_c2_0,2,2.0335,1.98,2.087,0.0345,LionCount,,,,
scalar,5000000,roaring,clean,default,64MB,fetch_medium,2,15.2385,13.209,17.268,0.036000000000000004,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring,clean,default,64MB,group_c200,2,18.645,17.843,19.447,0.032,LionCount,,,,
scalar,5000000,roaring,clean,default,64MB,in_c20k_100,2,2.4539999999999997,2.437,2.471,0.11549999999999999,LionCount,,,,
scalar,5000000,roaring,clean,default,64MB,is_null,2,0.4515,0.443,0.46,0.034,LionCount,,,,
scalar,5000000,roaring,clean,default,64MB,range_random,2,713.0625,708.336,717.789,0.035500000000000004,Seq Scan,,,,
scalar,5000000,roaring,dirty_scattered,default,64MB,and2,2,1.8615,1.759,1.964,0.041999999999999996,LionCount,,,,
scalar,5000000,roaring,dirty_scattered,default,64MB,eq_c200_17,2,0.19949999999999998,0.112,0.287,0.036,LionCount,,,,
scalar,5000000,roaring,dirty_scattered,default,64MB,eq_c2_0,2,1.9805000000000001,1.974,1.987,0.0345,LionCount,,,,
scalar,5000000,roaring,dirty_scattered,default,64MB,group_c200,2,18.4655,18.332,18.599,0.033,LionCount,,,,
scalar,5000000,roaring,dirty_scattered,prefer_index,64MB,group_c200,2,20.389000000000003,18.076,22.702,0.0545,LionCount,,,,
scalar,5000000,roaring_bitmap,after_maintenance,default,64MB,eq_c200_17,2,17.528,15.703,19.353,0.0485,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,after_maintenance,default,64MB,group_c200,2,1068.235,1037.264,1099.206,0.0445,Seq Scan,,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,and2,2,17.5975,15.888,19.307,0.068,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,and3,2,19.6335,12.089,27.178,0.07,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,eq_c200_17,2,114.7585,19.176,210.341,0.047,"Bitmap Heap Scan, Bitmap Index Scan",,,,
