2026-09-24 15:26:27.772 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.018 s, total=0.039 s; sync files=15, longest=0.006 s, average=0.002 s; distance=1156 kB, estimate=168035 kB; lsn=0/517E42D0, redo lsn=0/517E4278
2026-09-24 15:26:38.061 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:38.236 PDT [1877464] LOG:  checkpoint complete: wrote 10020 buffers (15.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 5 recycled; write=0.107 s, sync=0.031 s, total=0.175 s; sync files=21, longest=0.020 s, average=0.002 s; distance=77310 kB, estimate=158962 kB; lsn=0/56363AE8, redo lsn=0/56363A90
2026-09-24 15:26:38.463 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:38.554 PDT [1877464] LOG:  checkpoint complete: wrote 6401 buffers (9.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=0.048 s, sync=0.015 s, total=0.092 s; sync files=10, longest=0.006 s, average=0.002 s; distance=52246 kB, estimate=148291 kB; lsn=0/596694D0, redo lsn=0/59669478
2026-09-24 15:26:38.861 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:38.960 PDT [1877464] LOG:  checkpoint complete: wrote 7503 buffers (11.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 1 removed, 3 recycled; write=0.053 s, sync=0.013 s, total=0.099 s; sync files=12, longest=0.005 s, average=0.002 s; distance=61347 kB, estimate=139596 kB; lsn=0/5D252318, redo lsn=0/5D2522C0
2026-09-24 15:26:39.097 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:39.269 PDT [1877464] LOG:  checkpoint complete: wrote 10364 buffers (15.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 4 recycled; write=0.119 s, sync=0.022 s, total=0.172 s; sync files=3, longest=0.019 s, average=0.008 s; distance=74984 kB, estimate=133135 kB; lsn=0/61B8C5C8, redo lsn=0/61B8C570
2026-09-24 15:26:53.594 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:54.164 PDT [1877464] LOG:  checkpoint complete: wrote 2071 buffers (3.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 58 recycled; write=0.024 s, sync=0.305 s, total=0.571 s; sync files=28, longest=0.280 s, average=0.011 s; distance=952162 kB, estimate=952162 kB; lsn=0/9BD64F30, redo lsn=0/9BD64ED8
2026-09-24 15:26:59.318 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:59.366 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.025 s, total=0.049 s; sync files=15, longest=0.012 s, average=0.002 s; distance=10016 kB, estimate=857947 kB; lsn=0/9C72D1C8, redo lsn=0/9C72D170
2026-09-24 15:27:03.557 PDT [1877464] LOG:  checkpoint starting: immediate force wait
