suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,1000000,gin,dirty_scattered,prefer_index,64MB,group_c200,2,148.52,145.883,151.157,0.0505,Seq Scan,141.8125,4.729836932569431,Seq Scan,False
scalar,1000000,roaring,after_maintenance,default,64MB,eq_c200_17,2,0.0385,0.038,0.039,0.0365,LionCount,0.049,-21.42857142857143,LionCount,False
scalar,1000000,roaring,after_maintenance,default,64MB,group_c200,2,4.550000000000001,4.546,4.554,0.033,LionCount,4.4635,1.937941077629679,LionCount,False
scalar,1000000,roaring,clean,default,64MB,and2,2,0.372,0.363,0.381,0.043,LionCount,0.357,4.201680672268915,LionCount,False
scalar,1000000,roaring,clean,default,64MB,and3,2,0.317,0.31,0.324,0.063,LionCount,0.29500000000000004,7.457627118644061,LionCount,False
scalar,1000000,roaring,clean,default,64MB,eq_c200_17,2,0.027,0.026,0.028,0.035500000000000004,LionCount,0.028499999999999998,-5.263157894736836,LionCount,False
scalar,1000000,roaring,clean,default,64MB,eq_c20k_123,2,0.014499999999999999,0.013,0.016,0.038,LionCount,0.0165,-12.121212121212132,LionCount,False
scalar,1000000,roaring,clean,default,64MB,eq_c2_0,2,0.3565,0.356,0.357,0.0395,LionCount,0.40800000000000003,-12.622549019607854,LionCount,False
scalar,1000000,roaring,clean,default,64MB,fetch_medium,2,3.1955,3.158,3.233,0.0485,"Bitmap Heap Scan, Bitmap Index Scan",3.0285,5.514280997193333,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring,clean,default,64MB,group_c200,2,3.7535,3.724,3.783,0.0325,LionCount,3.8739999999999997,-3.1104801239029367,LionCount,False
scalar,1000000,roaring,clean,default,64MB,in_c20k_100,2,0.16,0.159,0.161,0.132,LionCount,0.5765,-72.24631396357329,LionCount,False
scalar,1000000,roaring,clean,default,64MB,is_null,2,0.0925,0.092,0.093,0.038000000000000006,LionCount,0.114,-18.85964912280702,LionCount,False
scalar,1000000,roaring,clean,default,64MB,range_random,2,111.055,110.4,111.71,0.035,Seq Scan,119.384,-6.976646786839103,Seq Scan,False
scalar,1000000,roaring,dirty_scattered,default,64MB,and2,2,0.433,0.377,0.489,0.045,LionCount,0.3525,22.836879432624112,LionCount,False
scalar,1000000,roaring,dirty_scattered,default,64MB,eq_c200_17,2,0.0375,0.029,0.046,0.039,LionCount,0.0305,22.95081967213115,LionCount,False
scalar,1000000,roaring,dirty_scattered,default,64MB,eq_c2_0,2,0.364,0.363,0.365,0.0375,LionCount,0.3975,-8.427672955974852,LionCount,False
scalar,1000000,roaring,dirty_scattered,default,64MB,group_c200,2,3.646,3.634,3.658,0.035500000000000004,LionCount,3.6985,-1.419494389617415,LionCount,False
scalar,1000000,roaring,dirty_scattered,prefer_index,64MB,group_c200,2,3.6405000000000003,3.611,3.67,0.033,LionCount,3.89,-6.4138817480719705,LionCount,False
scalar,1000000,roaring_bitmap,after_maintenance,default,64MB,eq_c200_17,2,2.9205,2.851,2.99,0.056999999999999995,"Bitmap Heap Scan, Bitmap Index Scan",3.0515,-4.292970670162211,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,after_maintenance,default,64MB,group_c200,2,148.00150000000002,145.74,150.263,0.032,Seq Scan,145.2405,1.9009849181185867,Seq Scan,False
scalar,1000000,roaring_bitmap,clean,default,64MB,and2,2,7.008,6.913,7.103,0.0565,"Bitmap Heap Scan, Bitmap Index Scan",6.678,4.941599281221931,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,clean,default,64MB,and3,2,2.4130000000000003,2.387,2.439,0.064,"Bitmap Heap Scan, Bitmap Index Scan",2.34,3.119658119658131,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c200_17,2,3.0535,2.766,3.341,0.048,"Bitmap Heap Scan, Bitmap Index Scan",2.6355,15.860368051603114,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c20k_123,2,0.0555,0.046,0.065,0.048,"Bitmap Heap Scan, Bitmap Index Scan",0.0475,16.842105263157904,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c2_0,2,74.3075,69.123,79.492,0.05550000000000001,"Bitmap Heap Scan, Bitmap Index Scan",62.757999999999996,18.403231460530932,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,clean,default,64MB,fetch_medium,2,3.0525,3.018,3.087,0.0375,"Bitmap Heap Scan, Bitmap Index Scan",2.8064999999999998,8.765366114377349,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,clean,default,64MB,group_c200,2,145.1735,141.774,148.573,0.033,Seq Scan,142.688,1.7419124243103878,Seq Scan,False
scalar,1000000,roaring_bitmap,clean,default,64MB,in_c20k_100,2,3.154,2.706,3.602,0.09,"Bitmap Heap Scan, Bitmap Index Scan",3.3865,-6.865495349180573,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,clean,default,64MB,is_null,2,26.939500000000002,25.663,28.216,0.028,"Bitmap Heap Scan, Bitmap Index Scan",26.0415,3.4483420693892652,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,clean,default,64MB,range_random,2,53.296499999999995,52.638,53.955,0.037,Seq Scan,55.235,-3.509550104100667,Seq Scan,False
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,and2,2,6.7835,6.71,6.857,0.05,"Bitmap Heap Scan, Bitmap Index Scan",3.1545,115.04200348708196,"Bitmap Heap Scan, Bitmap Index Scan",False
