2026-09-25 09:16:14.388 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:14.425 PDT [2049302] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.019 s, total=0.038 s; sync files=15, longest=0.007 s, average=0.002 s; distance=6185 kB, estimate=276973 kB; lsn=0/39F2D3F8, redo lsn=0/39F2D3A0
2026-09-25 09:16:14.673 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:14.716 PDT [2049302] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.020 s, total=0.044 s; sync files=15, longest=0.006 s, average=0.002 s; distance=6185 kB, estimate=249894 kB; lsn=0/3A537910, redo lsn=0/3A5378B8
2026-09-25 09:16:14.957 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:14.995 PDT [2049302] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.018 s, total=0.038 s; sync files=15, longest=0.007 s, average=0.002 s; distance=6189 kB, estimate=225524 kB; lsn=0/3AB42D78, redo lsn=0/3AB42D20
2026-09-25 09:16:15.219 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:15.260 PDT [2049302] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.019 s, total=0.042 s; sync files=15, longest=0.006 s, average=0.002 s; distance=6477 kB, estimate=203619 kB; lsn=0/3B196240, redo lsn=0/3B1961E8
2026-09-25 09:16:15.515 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:15.562 PDT [2049302] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.005 s, sync=0.023 s, total=0.048 s; sync files=15, longest=0.012 s, average=0.002 s; distance=17480 kB, estimate=185005 kB; lsn=0/3C2A8498, redo lsn=0/3C2A8440
2026-09-25 09:16:15.788 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:15.828 PDT [2049302] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.021 s, total=0.040 s; sync files=15, longest=0.008 s, average=0.002 s; distance=6194 kB, estimate=167124 kB; lsn=0/3C8B4F30, redo lsn=0/3C8B4ED8
2026-09-25 09:16:23.197 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:23.388 PDT [2049302] LOG:  checkpoint complete: wrote 10019 buffers (15.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 5 recycled; write=0.127 s, sync=0.030 s, total=0.191 s; sync files=20, longest=0.009 s, average=0.002 s; distance=80510 kB, estimate=158463 kB; lsn=0/417548C8, redo lsn=0/41754870
2026-09-25 09:16:23.538 PDT [2049302] LOG:  checkpoint starting: immediate force wait
