2026-09-24 19:02:21.273 PDT [1899916] LOG:  checkpoint complete: wrote 6401 buffers (9.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=0.055 s, sync=0.014 s, total=0.097 s; sync files=10, longest=0.006 s, average=0.002 s; distance=52246 kB, estimate=148294 kB; lsn=0/5966AC90, redo lsn=0/5966AC38
2026-09-24 19:02:21.575 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:21.684 PDT [1899916] LOG:  checkpoint complete: wrote 7503 buffers (11.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 1 removed, 3 recycled; write=0.058 s, sync=0.015 s, total=0.109 s; sync files=12, longest=0.008 s, average=0.002 s; distance=61351 kB, estimate=139599 kB; lsn=0/5D254948, redo lsn=0/5D2548F0
2026-09-24 19:02:21.896 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:22.069 PDT [1899916] LOG:  checkpoint complete: wrote 10364 buffers (15.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 4 recycled; write=0.119 s, sync=0.021 s, total=0.173 s; sync files=3, longest=0.020 s, average=0.007 s; distance=74984 kB, estimate=133138 kB; lsn=0/61B8EBF8, redo lsn=0/61B8EBA0
2026-09-24 19:02:36.962 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:37.557 PDT [1899916] LOG:  checkpoint complete: wrote 2071 buffers (3.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 58 recycled; write=0.024 s, sync=0.306 s, total=0.596 s; sync files=28, longest=0.279 s, average=0.011 s; distance=952163 kB, estimate=952163 kB; lsn=0/9BD67B10, redo lsn=0/9BD67AB8
2026-09-24 19:02:40.895 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:40.947 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.027 s, total=0.052 s; sync files=15, longest=0.015 s, average=0.002 s; distance=10016 kB, estimate=857949 kB; lsn=0/9C72FDA8, redo lsn=0/9C72FD50
2026-09-24 19:02:45.843 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:45.892 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.025 s, total=0.049 s; sync files=15, longest=0.013 s, average=0.002 s; distance=10423 kB, estimate=773196 kB; lsn=0/9D15DB70, redo lsn=0/9D15DB18
2026-09-24 19:02:49.882 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:49.930 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.028 s, total=0.049 s; sync files=15, longest=0.014 s, average=0.002 s; distance=14458 kB, estimate=697322 kB; lsn=0/9DF7C460, redo lsn=0/9DF7C408
2026-09-24 19:02:53.499 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:53.568 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.005 s, sync=0.040 s, total=0.070 s; sync files=15, longest=0.028 s, average=0.003 s; distance=31319 kB, estimate=630722 kB; lsn=0/9FE121D0, redo lsn=0/9FE12178
2026-09-24 19:02:57.280 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:57.374 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 6 recycled; write=0.004 s, sync=0.050 s, total=0.094 s; sync files=15, longest=0.038 s, average=0.004 s; distance=84824 kB, estimate=576132 kB; lsn=0/A50E82E8, redo lsn=0/A50E8290
2026-09-24 19:03:00.243 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:03:00.281 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.018 s, total=0.039 s; sync files=15, longest=0.009 s, average=0.002 s; distance=5262 kB, estimate=519045 kB; lsn=0/A560BDB0, redo lsn=0/A560BD58
2026-09-24 19:04:37.077 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:04:37.585 PDT [1899916] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 23 recycled; write=0.005 s, sync=0.393 s, total=0.509 s; sync files=21, longest=0.377 s, average=0.019 s; distance=385955 kB, estimate=505736 kB; lsn=0/BCEF4B08, redo lsn=0/BCEF4AB0
2026-09-24 19:04:38.807 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:04:39.003 PDT [1899916] LOG:  checkpoint complete: wrote 18755 buffers (28.6%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 11 recycled; write=0.121 s, sync=0.015 s, total=0.196 s; sync files=10, longest=0.006 s, average=0.002 s; distance=181153 kB, estimate=473278 kB; lsn=0/C7FDD188, redo lsn=0/C7FDD130
2026-09-24 19:04:40.662 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:04:40.881 PDT [1899916] LOG:  checkpoint complete: wrote 21193 buffers (32.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 14 recycled; write=0.127 s, sync=0.019 s, total=0.220 s; sync files=12, longest=0.006 s, average=0.002 s; distance=214391 kB, estimate=447389 kB; lsn=0/D513AFB0, redo lsn=0/D513AF58
2026-09-24 19:04:42.131 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:04:42.715 PDT [1899916] LOG:  checkpoint complete: wrote 26958 buffers (41.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 22 recycled; write=0.275 s, sync=0.202 s, total=0.584 s; sync files=3, longest=0.190 s, average=0.068 s; distance=374912 kB, estimate=440141 kB; lsn=0/EBF5B130, redo lsn=0/EBF5B0D8
2026-09-24 19:05:09.385 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:05:10.142 PDT [1899916] LOG:  checkpoint complete: wrote 2072 buffers (3.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 86 recycled; write=0.025 s, sync=0.349 s, total=0.757 s; sync files=35, longest=0.315 s, average=0.010 s; distance=1394198 kB, estimate=1394198 kB; lsn=1/410E0B88, redo lsn=1/410E0B30
2026-09-24 19:05:11.484 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:05:11.557 PDT [1899916] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.047 s, total=0.074 s; sync files=15, longest=0.035 s, average=0.004 s; distance=30650 kB, estimate=1257843 kB; lsn=1/42ECF6C0, redo lsn=1/42ECF668
2026-09-24 19:05:12.946 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:05:13.014 PDT [1899916] LOG:  checkpoint complete: wrote 15 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.004 s, sync=0.039 s, total=0.068 s; sync files=15, longest=0.026 s, average=0.003 s; distance=30651 kB, estimate=1135124 kB; lsn=1/44CBE588, redo lsn=1/44CBE530
2026-09-24 19:05:14.339 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:05:14.398 PDT [1899916] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.004 s, sync=0.030 s, total=0.059 s; sync files=15, longest=0.017 s, average=0.002 s; distance=30647 kB, estimate=1024676 kB; lsn=1/46AAC580, redo lsn=1/46AAC528
2026-09-24 19:05:15.694 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:05:15.755 PDT [1899916] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.005 s, sync=0.032 s, total=0.061 s; sync files=15, longest=0.023 s, average=0.003 s; distance=30800 kB, estimate=925289 kB; lsn=1/488C06D0, redo lsn=1/488C0678
2026-09-24 19:05:17.076 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:05:17.147 PDT [1899916] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=0.004 s, sync=0.038 s, total=0.071 s; sync files=15, longest=0.025 s, average=0.003 s; distance=52249 kB, estimate=837985 kB; lsn=1/4BBC6CE8, redo lsn=1/4BBC6C90
2026-09-24 19:05:18.307 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:05:18.371 PDT [1899916] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.004 s, sync=0.035 s, total=0.065 s; sync files=15, longest=0.023 s, average=0.003 s; distance=30656 kB, estimate=757252 kB; lsn=1/4D9B6F00, redo lsn=1/4D9B6EA8
